id,text,created_at,processed_text,cluster
1036997663382753283,"RT @RxHoy: Las medicinas son caras. Visita https://t.co/b7dy3Rrzsi para empezar a ahorrar ya. HoyRX, la nueva forma de comprar medicinas a…",2018-09-04 15:21:24,rxhoy las medicinas son caras visita para empezar a ahorrar ya hoyrx la nueva forma de comprar medicinas a,0
1208171366454898688,this band that saved my life is a band again and for the first time in my life i can say there's a reasonable chanc… https://t.co/NbkXoA9USA,2019-12-20 23:44:35,this band that saved my life is a band again and for the first time in my life i can say there s a reasonable chanc,1
1201653227911106560,RT @Berti_and_Ernie: #Luck and #Love are only words but if I watch him smile they get a meaning. https://t.co/wm1wP27ehs,2019-12-03 00:03:49,berti_and_ernie luck and love are only words but if i watch him smile they get a meaning,1
1203961452786176000,"RT @sch: My god, White Island volcano in New Zealand erupted today for first time since 2001. My family and I had gotten off it 20 minutes…",2019-12-09 08:55:53,sch my god white island volcano in new zealand erupted today for first time since my family and i had gotten off it minutes,1
1203406850332528646,RT @JasonIsbell: Chris is a good guy and clearly he’s done country music a great service but damn that’s a lot of pressure https://t.co/BOG…,2019-12-07 20:12:05,jasonisbell chris is a good guy and clearly he s done country music a great service but damn that s a lot of pressure,1
1201152922471583744,This is a great read for all adults. #pain #stress #healthylifestyle #depression #fibromyalgia👇👇How to get out of a… https://t.co/I9qhLO4PQw,2019-12-01 14:55:47,this is a great read for all adults pain stress healthylifestyle depression fibromyalgiahow to get out of a,2
1206728221364031493,Vegetables contain many nutrients that are important for good health. A dietitian with Aurora Health Care explains… https://t.co/glI0nQpagb,2019-12-17 00:10:02,vegetables contain many nutrients that are important for good health a dietitian with aurora health care explains,2
1210401278439907328,@palmd Triad drugs? No problem. Few days early? No big deal. Subutex for chronic pain? Well.... doc signed the form… https://t.co/LpPLSKwqWl,2019-12-27 03:25:27,palmd triad drugs no problem few days early no big deal subutex for chronic pain well doc signed the form,2
1206624914146562054,Rockin the wheelchair today! Hospital appointments and more exploring. Have a wonderful day everybody! Only you put… https://t.co/K3jcKMpj29,2019-12-16 17:19:32,rockin the wheelchair today hospital appointments and more exploring have a wonderful day everybody only you put,3
1209791824732262401,"RT @jamesdeeganMC: I hope Santa has been good to you all. Enjoy the day, eat, drink and be Merry. Raise a glass to absent friends, until Va…",2019-12-25 11:03:42,jamesdeeganmc i hope santa has been good to you all enjoy the day eat drink and be merry raise a glass to absent friends until va,3
1209893552047771648,@insulinth0t And congraduations on your marriage. I hope your wedding day will be all you want it to be.,2019-12-25 17:47:56,and congraduations on your marriage i hope your wedding day will be all you want it to be,3
1206578562624638979,"Let's boost this book today! Still time to order for your holiday reading, or as a super stocking stuffer gift!… https://t.co/HdSlTr5TXs",2019-12-16 14:15:21,let s boost this book today still time to order for your holiday reading or as a super stocking stuffer gift,3
1202372525151444992,RT @FennerMichelle: This from a friend that @LillyDiabetes and customer support has personally swore to help. @Lija27 it has been 2 weeks a…,2019-12-04 23:42:03,fennermichelle this from a friend that lillydiabetes and customer support has personally swore to help it has been weeks a,4
1205628928553078784,Just received an over-the-top cool gift from one of my customers (and friend!). @NTLogisticsInc for the win this ho… https://t.co/Y3kc2plSwQ,2019-12-13 23:21:50,just received an overthetop cool gift from one of my customers and friend ntlogisticsinc for the win this ho,4
1209945394412707841,This is basically the superb tips for discovering potential clients on Twitter and is used around the world at this… https://t.co/UivcYcdCrj,2019-12-25 21:13:56,this is basically the superb tips for discovering potential clients on twitter and is used around the world at this,4
1201893055906762757,"RT @arwmd: Calling all #Telehealth and #telemedicine.

Please come join is in #Phoenix for the @AmericanTelemed annual conference.    As @A…",2019-12-03 15:56:49,arwmd calling all telehealth and telemedicine please come join is in phoenix for the americantelemed annual conference as a,4
1211412698069716992,"RT @patton6966: Attack on Jews in Ny yesterday, an attack on Christian's today. The DS is in panic mode with the truth coming out. Watch fo…",2019-12-29 22:24:28,attack on jews in ny yesterday an attack on christian s today the ds is in panic mode with the truth coming out watch fo,5
1205263628657725441,"RT @BriRiceWrites: Cincinnati is No. 1 city in US for beer drinkers, study says. See the rest of the top 10 https://t.co/fdIJDVIET3 via @en…",2019-12-12 23:10:16,briricewrites cincinnati is no city in us for beer drinkers study says see the rest of the top via en,5
1207367428663074821,"Peloton's holiday ad falls flat, Israeli startup notches another 510(k) and more digital health news briefs https://t.co/YFUp5PrSyL",2019-12-18 18:30:01,peloton s holiday ad falls flat israeli startup notches another and more digital health news briefs,5
1211701455444488192,"RT @Liz_Wheeler: So lemme get this straight.

An evil man opens fire in church.

Two concealed carry permit holders engage him.

One dies p…",2019-12-30 17:31:53,liz_wheeler so lem me get this straight an evil man opens fire in church two concealed carry permit holders engage him one dies p,5
1201940516952260609,When a person with dementia goes missing: A growing problem in Florida | Opinion https://t.co/98hDQqA5q3 via @tcpalm,2019-12-03 19:05:24,when a person with dementia goes missing a growing problem in florida opinion via tcpalm,5
